country,date,cumulative_estimated_daily_excess_deaths,cumulative_estimated_daily_excess_deaths_ci_95_top,cumulative_estimated_daily_excess_deaths_ci_95_bot,cumulative_estimated_daily_excess_deaths_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_bot_per_100k,estimated_daily_excess_deaths,estimated_daily_excess_deaths_ci_95_top,estimated_daily_excess_deaths_ci_95_bot,estimated_daily_excess_deaths_per_100k,estimated_daily_excess_deaths_ci_95_top_per_100k,estimated_daily_excess_deaths_ci_95_bot_per_100k
Poland,2020-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Poland,2020-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Poland,2020-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Poland,2020-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Poland,2020-01-27,-452.59293,-452.59293,-452.59293,-1.1355377,-1.1355377,-1.1355377,-64.656136,-64.656136,-64.656136,-0.16221969,-0.16221969,-0.16221969
Poland,2020-02-03,-1043.0192,-1043.0192,-1043.0192,-2.616894,-2.616894,-2.616894,-84.34661,-84.34661,-84.34661,-0.21162231,-0.21162231,-0.21162231
Poland,2020-02-10,-1447.7788,-1447.7788,-1447.7788,-3.6324198,-3.6324198,-3.6324198,-57.8228,-57.8228,-57.8228,-0.14507513,-0.14507513,-0.14507513
Poland,2020-02-17,-1903.8717,-1903.8717,-1903.8717,-4.776739,-4.776739,-4.776739,-65.156136,-65.156136,-65.156136,-0.16347416,-0.16347416,-0.16347416
Poland,2020-02-24,-2452.7832,-2452.7832,-2452.7832,-6.1539364,-6.1539364,-6.1539364,-78.41593,-78.41593,-78.41593,-0.19674248,-0.19674248,-0.19674248
Poland,2020-03-02,-2949.6948,-2949.6948,-2949.6948,-7.4006677,-7.4006677,-7.4006677,-70.98736,-70.98736,-70.98736,-0.17810448,-0.17810448,-0.17810448
Poland,2020-03-09,-3178.8062,-3178.8062,-3178.8062,-7.975499,-7.975499,-7.975499,-32.730217,-32.730217,-32.730217,-0.082118824,-0.082118824,-0.082118824
Poland,2020-03-16,-3363.7178,-3363.7178,-3363.7178,-8.439435,-8.439435,-8.439435,-26.415932,-26.415932,-26.415932,-0.06627653,-0.06627653,-0.06627653
Poland,2020-03-23,-3592.8293,-3592.8293,-3592.8293,-9.014267,-9.014267,-9.014267,-32.730217,-32.730217,-32.730217,-0.082118824,-0.082118824,-0.082118824
Poland,2020-03-30,-3789.941,-3789.941,-3789.941,-9.508812,-9.508812,-9.508812,-28.158789,-28.158789,-28.158789,-0.07064929,-0.07064929,-0.07064929
Poland,2020-04-06,-3829.4524,-3829.4524,-3829.4524,-9.6079445,-9.6079445,-9.6079445,-5.6445026,-5.6445026,-5.6445026,-0.014161834,-0.014161834,-0.014161834
Poland,2020-04-13,-3483.764,-3483.764,-3483.764,-8.740626,-8.740626,-8.740626,49.384068,49.384068,49.384068,0.12390268,0.12390268,0.12390268
Poland,2020-04-20,-3589.4753,-3589.4753,-3589.4753,-9.005852,-9.005852,-9.005852,-15.101645,-15.101645,-15.101645,-0.037889432,-0.037889432,-0.037889432
Poland,2020-04-27,-3488.9868,-3488.9868,-3488.9868,-8.753731,-8.753731,-8.753731,14.355497,14.355497,14.355497,0.036017377,0.036017377,0.036017377
Poland,2020-05-04,-3424.6985,-3424.6985,-3424.6985,-8.592433,-8.592433,-8.592433,9.184069,9.184069,9.184069,0.023042466,0.023042466,0.023042466
Poland,2020-05-11,-3265.21,-3265.21,-3265.21,-8.192283,-8.192283,-8.192283,22.78407,22.78407,22.78407,0.05716433,0.05716433,0.05716433
Poland,2020-05-18,-3215.7214,-3215.7214,-3215.7214,-8.068118,-8.068118,-8.068118,7.069783,7.069783,7.069783,0.017737808,0.017737808,0.017737808
Poland,2020-05-25,-3053.633,-3053.633,-3053.633,-7.6614447,-7.6614447,-7.6614447,23.155499,23.155499,23.155499,0.05809623,0.05809623,0.05809623
Poland,2020-06-01,-2683.7444,-2683.7444,-2683.7444,-6.733409,-6.733409,-6.733409,52.841213,52.841213,52.841213,0.13257651,0.13257651,0.13257651
Poland,2020-06-08,-2369.456,-2369.456,-2369.456,-5.9448714,-5.9448714,-5.9448714,44.898354,44.898354,44.898354,0.1126482,0.1126482,0.1126482
Poland,2020-06-15,-2367.1675,-2367.1675,-2367.1675,-5.93913,-5.93913,-5.93913,0.32692617,0.32692617,0.32692617,0.00082024484,0.00082024484,0.00082024484
Poland,2020-06-22,-2228.079,-2228.079,-2228.079,-5.5901623,-5.5901623,-5.5901623,19.869783,19.869783,19.869783,0.0498525,0.0498525,0.0498525
Poland,2020-06-29,-1820.3905,-1820.3905,-1820.3905,-4.567288,-4.567288,-4.567288,58.24121,58.24121,58.24121,0.1461249,0.1461249,0.1461249
Poland,2020-07-06,-1740.702,-1740.702,-1740.702,-4.3673525,-4.3673525,-4.3673525,11.384069,11.384069,11.384069,0.028562179,0.028562179,0.028562179
Poland,2020-07-13,-1532.4136,-1532.4136,-1532.4136,-3.8447652,-3.8447652,-3.8447652,29.755497,29.755497,29.755497,0.07465537,0.07465537,0.07465537
Poland,2020-07-20,-1517.7251,-1517.7251,-1517.7251,-3.8079123,-3.8079123,-3.8079123,2.0983548,2.0983548,2.0983548,0.005264689,0.005264689,0.005264689
Poland,2020-07-27,-1171.4366,-1171.4366,-1171.4366,-2.939088,-2.939088,-2.939088,49.469784,49.469784,49.469784,0.12411773,0.12411773,0.12411773
Poland,2020-08-03,-623.14813,-623.14813,-623.14813,-1.563454,-1.563454,-1.563454,78.32693,78.32693,78.32693,0.19651917,0.19651917,0.19651917
Poland,2020-08-10,208.14035,208.14035,208.14035,0.5222159,0.5222159,0.5222159,118.7555,118.7555,118.7555,0.29795286,0.29795286,0.29795286
Poland,2020-08-17,1073.6288,1073.6288,1073.6288,2.6936924,2.6936924,2.6936924,123.64121,123.64121,123.64121,0.3102109,0.3102109,0.3102109
Poland,2020-08-24,1150.7173,1150.7173,1150.7173,2.8871043,2.8871043,2.8871043,11.01264,11.01264,11.01264,0.02763028,0.02763028,0.02763028
Poland,2020-08-31,1470.8058,1470.8058,1470.8058,3.6901937,3.6901937,3.6901937,45.726925,45.726925,45.726925,0.11472705,0.11472705,0.11472705
Poland,2020-09-07,2000.8943,2000.8943,2000.8943,5.020165,5.020165,5.020165,75.72693,75.72693,75.72693,0.18999587,0.18999587,0.18999587
Poland,2020-09-14,2796.9827,2796.9827,2796.9827,7.0175195,7.0175195,7.0175195,113.72693,113.72693,113.72693,0.28533638,0.28533638,0.28533638
Poland,2020-09-21,3368.2712,3368.2712,3368.2712,8.450859,8.450859,8.450859,81.61264,81.61264,81.61264,0.20476289,0.20476289,0.20476289
Poland,2020-09-28,3931.1597,3931.1597,3931.1597,9.863125,9.863125,9.863125,80.41264,80.41264,80.41264,0.20175214,0.20175214,0.20175214
Poland,2020-10-05,5317.448,5317.448,5317.448,13.341268,13.341268,13.341268,198.04121,198.04121,198.04121,0.49687758,0.49687758,0.49687758
Poland,2020-10-12,7620.1367,7620.1367,7620.1367,19.118622,19.118622,19.118622,328.9555,328.9555,328.9555,0.82533634,0.82533634,0.82533634
Poland,2020-10-19,12153.226,12153.226,12153.226,30.491962,30.491962,30.491962,647.58405,647.58405,647.58405,1.6247629,1.6247629,1.6247629
Poland,2020-10-26,19066.713,19066.713,19066.713,47.83763,47.83763,47.83763,987.64124,987.64124,987.64124,2.4779527,2.4779527,2.4779527
Poland,2020-11-02,27582.602,27582.602,27582.602,69.20366,69.20366,69.20366,1216.5555,1216.5555,1216.5555,3.0522897,3.0522897,3.0522897
Poland,2020-11-09,35443.29,35443.29,35443.29,88.92582,88.92582,88.92582,1122.9554,1122.9554,1122.9554,2.817451,2.817451,2.817451
